id	is_closed	name	province	city	detail_addr	tel	business_hours	holiday	type	grade	homepage	latitude	longitude	menu	zip	parking	tel2	distance	rough_map_desc	price	
18	false	사랑분식	수도권	서울	서울 강남구 개포동 1230-5	02-577-4012		월요일 휴무	주문식	비건	http://cafe.naver.com/ululul/81970	37.47717	127.04809	두부찌게, 들깨칼국수, 비건제품 등		건물뒤 주차공간 협소, 식당앞 도로				5,000원 내외	
19	false	채식사랑	강원	춘천	강원도 춘천시 동면 만천리 329-13	033-252-2057	12:00 ~ 점심시간(뷔페), 저녁시간(국수)	일요일 휴무	뷔페	비건	http://blog.naver.com/come_home/60115753100	37.886717	127.777195	퓨전 뷔페식		건물앞 넓은 무료 주차장 있음				8,000원	
20	false	오세계향	수도권	서울	서울특별시 종로구 관훈동 59	02-735-7171			주문식	비건	http://cafe.naver.com/ululul/76840	37.574604	126.985254	콩까스, 우엉들깨탕, 짱뽕 등		주차 공간 없음				6000원 ~ 13000원	
21	false	삼육대 - 프랜들리	수도권	서울	서울특별시 노원구 공릉2동 26-21		~ 19:00	토요일, 일요일 휴무	주문식	유란 채식	http://cafe.naver.com/ululul/78815	37.642663	127.106924	마파두부덮밥, 짜장면 등		삼육대학교 유료 주차, 후문쪽 버스 정류장 무료 주차			삼육대 바울관 지하1층	3,000원 내외	
22	false	고향정 보리밥 뷔페	수도권	서울	서울시 광진구 광장동 571-1	02-455-0180			뷔페	대부분 채식	http://cafe.naver.com/ululul/77847	37.540996	127.096581	뷔페식(음식 종류 매우 다양, 신선함)		주차 공간 매우 넓음(무료 주차)				6,000원	
24	false	향촌	수도권	남양주	경기도 남양주시 별내면 광전리 182-6	031-528-0830			주문식	대부분 채식	http://cafe.naver.com/ululul/78581	37.69809	127.125732	채식 왕만두, 팥칼국수 등		무료 주차, 공간 넓음				5,000원 내외	
25	false	효소원 방배1호점(구 효소원)	수도권	서울	서울 서초구 방배3동 481-1	02-582-1820	11:30~14:30,17:30~20:30		뷔페	대부분 채식	http://blog.daum.net/_blog/BlogTypeView.do?blogid=0T3LV&articleno=51#ajax_history_home	37.476484	126.987796	작은 뷔페(국과 김치는 비건식으로 주문요청)		주차 공간 있음(협소)				8,000원(도시락 6,000원)	
26	false	신동양	수도권	서울	서울시 영등포구 여의도동 35-5	02-782-1754			주문식	일부 채식	http://ieol.blog.me/60089421129	37.52138	126.925006	채식 메뉴판이 별도로 있습니다.(요청)		무료 주차 확인 가능			여의도역 여의도종합상가 5층	채식짜장면 약 5,000원	
27	false	뉴스타트	수도권	서울	서울시 강남구 대치동 897-13	02-565-4324	점심:11:30~2:30 / 저녁:17:30~20:30	금요일 저녁~토요일 휴무	뷔페	유란 채식	http://cafe.naver.com/ululul/67832	37.503032	127.050729	30여가지의 채식메뉴		지하 주차 공간 있음(협소)			남곡빌딩 2층	성인 15,000원 . 아동 8,000원	
28	false	비비고 - 광화문점	수도권	서울	서울시 종로구 신문로1가 163	02-730-7423	11:00 ~ 23:00	연중무휴	주문식	일부 채식	http://cafe.naver.com/ululul/70369	37.569787	126.975024	비빔밥, 샐러드	110-999	건물내 지하주차장 무료 1시간			오피시아 빌딩 1층	8,000원 내외	
29	false	삼육병원 - 베지랜드	수도권	서울	서울시 동대문구 휘경동 29-1			토요일 휴무, 일요일 및 금요일 오후 문의요	주문식	유란 채식	http://coolmang.blog.me/10082800597	37.588884	127.064483	현미백반, 떡볶이, 육개장(계란 확인)					삼육서울병원 내 산후조리원 건물뒤쪽에 붙어있음	4,000원 내외	
30	false	삼육대 - 파인하우스	수도권	서울	서울특별시 노원구 공릉2동 26-21			토요일 휴무, 일요일은 17:00까지만	주문식	유란 채식	http://coolmang.blog.me/10099154504	37.642055	127.107021	채식육계장, 우동, 짜장면, 야채춘권 등		삼육대 유료 주차, 후문쪽 버스정류장 무료 주차			삼육대 학생회관 1층	3,000원 내외	
31	false	서울대 - 채식뷔페	수도권	서울	서울대 제 2식당(74동) 2층		11:30 ~ 13:30	토, 일, 공휴일	뷔페	대부분 채식	http://blog.naver.com/junior_atom?Redirect=Log&logNo=30095385977	37.461891	126.952992	뷔페식		서울대 유료 주차				5,000원	
32	false	아승지	수도권	서울	서울시 영등포구 신길동 223-17	02-832-7595	12:00 ~ 15:00 (예약 필수)	토,일요일 공휴일 휴무	뷔페	비건	http://cafe.naver.com/ululul/74728	37.507813	126.91115	사찰 요리 뷔페		주차 가게앞3, 4대			7호선 신풍역근처	15,000원	
33	false	안현필 건강밥상	수도권	서울	서울시 구로구 구로6동 123-13	02-853-6094	~ 20:00	주말	뷔페	대부분 채식	http://www.iahp.co.kr	37.492437	126.893439	뷔페식, 건강상품판매	152-845					7,000원, 현미김밥 한줄 2,500원	
34	false	자금성	수도권	서울	서울시 중구 명동2가 51-8	02-318-1133			주문식	대부분 채식	http://cafe.naver.com/ululul/80193	37.562888	126.984299	모든 중식요리 채식으로 주문가능					명동 랜드로바 맞은편 (명동파출소 뒷쪽 골목)		
35	false	적수방	수도권	서울	서울특별시 중구 장충동2가 188-6	02-2276-0993		일요일 휴무(문의)	주문식	락토 채식	http://www.fgs.kr/html/tearoom.htm	37.559699	127.004893	대만식 채식 음식 제공					불광산사 (지하)	5,000원 내외	
36	false	청미래 자연식뷔페 - 고척점	수도권	서울	서울시 구로구 고척동 38-8	02-2681-0567		월요일	뷔페	대부분 채식	http://cafe.naver.com/skypooh100/44	37.507902	126.863543	뷔페식. 생선 등 채식이 아닌 요리도 있음						13,000원	
37	false	청미래 자연식뷔페 - 잠실점	수도권	서울	서울 송파구 삼전동 22-2	02-422-0567			뷔페	대부분 채식	http://cafe.naver.com/ululul/58983	37.507022	127.092518	동물성 메뉴 일부 있음					레이크타워 B1	점심 16,500원, 저녁 22,000원	
38	false	초록뜰	수도권	서울	서울시 동대문구 휘경2동 276-57	02-2213-1878			주문식	비건	http://cafe.naver.com/ululul/58478	37.589581	127.062405	순두부밥, 묵밥, 들깨칼국수, 팥칼국수					회기역2번출구로 나가서 삼육병원입구	4,000원 ~ 10,000원	
39	false	한과채 채식뷔페	수도권	서울	서울시 종로구 관훈동30-9	02- 720-2802		일요일 휴무	뷔페	비건	http://junglemap.tistory.com/41	37.574326	126.985686	뷔페식					청아빌딩 지하	12,000원	
40	false	현미뷔페건강 자연식 식당	수도권	서울	서울시 성동구 성수2가1동 300-66	02-463-0406	점심 식사만 가능	일요일 휴무	뷔페	대부분 채식	http://cafe.naver.com/ululul/58127	37.545207	127.054712	대부분 채식(일부 해물, 백숙)					지하철 2호선 성수역 1번 출구	7,000원	
41	false	휘경동 춘천 막국수	수도권	서울	서울시 동대문구 휘경동 286-235	02-2215-0901	09:00 ~ 21:00	토요일 휴무, 금요일은 15:00까지	주문식	대부분 채식	http://cafe.naver.com/ululul/75282	37.588523	127.062839	계란 제외 요청 필요					삼육병원 입구 옆골목으로 100미터안쪽	5,000원 내외(공사중 11월쯤 재오픈)	
42	false	So True	수도권	서울	서울시 강남구 삼성동 50-6	02-549-7288	12:00~3:00,18:00~21:30,15:00~18:00(음료,피자,샌드위치만)	일요일 휴무, 토요일은 하루종일 식사 주문 가능	주문식	일부 채식	http://cafe.naver.com/ululul/59413	37.518657	127.056134	카페&브런치, 야채밭 피자 등					청담동 2번출구 나와 경기고 바로앞 골목		
47	false	비비고 - 서울대점	수도권	서울	서울대 자연과학대학 교육연구동 501동 1층	02-871-7423	11:00 ~ 22:00	연중무휴	주문식	일부 채식	http://cafe.naver.com/ululul/70369	37.459607	126.948266	비빔밥, 샐러드		서울대 유료 주차				8,000원 내외	
48	false	비비고 - 상암점	수도권	서울	서울시 마포구 상암동 1606	02-371-5599	07:30 ~ 22:00(토 11:00 ~ 21:00)	일요일 휴무	주문식	일부 채식	http://cafe.naver.com/ululul/70369	37.578282	126.891446	비빔밥, 샐러드	121-270	건물 내 지하주차장 2시간 무료			CJ E&M센터 지하 1층	8,000원 내외	
49	false	비비고 - 강남 삼성타운점	수도권	서울	서울 서초동 1320	02-588-7423	11:00 ~ 22:00	연중무휴	주문식	일부 채식	http://cafe.naver.com/ululul/70369	37.497214	127.026216	비빔밥, 샐러드		주차 불가			윤빌딩(투썸플레이스) 지하	8,000원 내외	
50	false	고향산천 오곡 보리밥웰빙뷔페	수도권	서울	서울 동대문구 답십리1동 492-4	02-2247-7455			뷔페	대부분 채식	http://mods77.blog.me/100126947919	37.564769	127.056144	한 두가지 고기류 반찬 이외에는 다 채식류					답십리역 4번출구 근처, 도보로 50m 직진	저렴한 뷔페	
52	false	러빙헛 - 명륜점	경상	부산	부산 동래구 명륜동 700-97	051-556-8777			주문식	비건	http://lovinghut.kr/kr/bbs/board.php?bo_table=restaurants_kr&wr_id=65&county=%EB%B6%80%EC%82%B0&lang=&city=%EB%AA%85%EB%A5%9C%EB%8F%99	35.213366	129.08162	햅버거 전문, 토스트, 콩까스, 라면 등	607-010				(명륜동역 4번출구)		
56	false	러빙헛 - 로데오점	경상	대구	대구시 수성구 범어4동 96-1	053-752-6480			주문식	비건	http://lovinghut.kr/kr/bbs/board.php?bo_table=restaurants_kr&wr_id=59&county=%EB%8C%80%EA%B5%AC&lang=&city=	35.854842	128.638626								
58	false	러빙헛 - 아힘사점	경상	대구	대구시 동구 신천4동 366-13	053-744-3373	10:00 ~ 20:00	매주 일요일 휴무	주문식	비건	http://lovinghut.kr/kr/bbs/board.php?bo_table=restaurants_kr&wr_id=35&county=%EB%8C%80%EA%B5%AC&lang=&city=	35.871477	128.630641	콩불구이, 들깨국수, 냉면 등					전문건설공제조합 옆 골목으로 약 300미터 지점	5,000원 내외	
59	false	러빙헛 - 울산대점	경상	울산	울산시 남구 무거2동 630-22	052-277-4870	12:00 ~ 20:00	일요일 휴무	주문식	비건	http://lovinghut.kr/kr/bbs/board.php?bo_table=restaurants_kr&wr_id=34&county=%EC%9A%B8%EC%82%B0&lang=&city=	35.543499	129.261371								
64	false	러빙헛 - 평화점	전라	전주	전북 전주시 완산구 효자동 1가 216-12	063-226-7388	11:00 ~ 20:00(토:~15:00)	일요일 휴무	주문식	비건	http://lovinghut.kr/kr/bbs/board.php?bo_table=restaurants_kr&wr_id=42&county=%EC%A0%84%EC%A3%BC&lang=&city=%ED%8F%89%ED%99%94%EB%8F%99	35.786529	127.132252	콩불고기 덮밥/쌈밥, 콩까스, 들깨칼국수, 찌게, 햄버거		주변 노상 주차			서부시장 내 효자성당 근처	5,000원 내외(모든 메뉴 포장 가능)	
65	false	러빙헛 - 효자점	전라	전주	전북 전주시 완산구 효자동 1가 660-1	063-224-8929	11:30 ~ 15:00, 17:00 ~ 21:00	매주 토요일 휴무	주문식	비건	http://lovinghut.kr/kr/bbs/board.php?bo_table=restaurants_kr&wr_id=55&county=%EC%A0%84%EC%A3%BC&lang=&city=	35.801852	127.114209	콩까스, 된장, 비빕밥, 죽, 탕수, 칼국수, 콩국수 등					한강APT 상가동 104호	전 메뉴 5,000원, 일요일은 모두 4,000원	
67	false	러빙헛 - 중앙점	제주	제주	제주시 이도1동 1387-3 1층	064-759-6113	11:00 ~ 21:00		주문식	비건	http://lovinghut.kr/kr/bbs/board.php?bo_table=restaurants_kr&wr_id=30&county=%EC%A0%9C%EC%A3%BC%EB%8F%84&lang=&city=%EC%A0%9C%EC%A3%BC%EC%8B%9C	33.511822	126.523935	콩까스, 인삼보양탕, 두개장, 햄버거 등	690-828					5,000원 내외	
69	false	러빙헛 - 아산점(전화 확인 요)	충청	아산시	충남 아산시 영인면 아산리 44-5	041-544-2237	09:00 ~ 21:00	수요일 휴무	주문식	비건	http://lovinghut.kr/kr/bbs/board.php?bo_table=restaurants_kr&wr_id=54&county=%EC%95%84%EC%82%B0&lang=&city=	36.850763	126.961511						나드리 주유소		
70	false	러빙헛 - 온양점	충청	아산시	충남 아산시 온천동 1406	041-549-1638	11:00 ~ 21:00	일요일 휴무	주문식	비건	http://lovinghut.kr/kr/bbs/board.php?bo_table=restaurants_kr&wr_id=43&county=%EC%95%84%EC%82%B0&lang=&city=%EC%98%A8%EC%B2%9C%EB%8F%99	36.788928	126.999016	볶음우동, 콩불고기 등 (월요일은 5,000원 뷔페)							
71	false	러빙헛 - 동문점	경상	안동시	경북 안동시 동문동 158-5	054-841-9244			주문식	비건	http://lovinghut.kr/kr/bbs/board.php?bo_table=restaurants_kr&wr_id=28&county=%EC%95%88%EB%8F%99&lang=&city=%EB%8F%99%EB%AC%B8%EB%8F%99	36.564946	128.735339	한식, 양식, 면류 등	760-040					5,000원 내외	
72	false	러빙헛 - 안동점	경상	안동시	경북 안동시 옥동 788-1	054-841-5393	11:30 ~ 20:30		주문식	비건	http://lovinghut.kr/kr/bbs/board.php?bo_table=restaurants_kr&wr_id=24&county=%EC%95%88%EB%8F%99&lang=&city=%EC%98%A5%EB%8F%99	36.559028	128.698751	한식, 양식, 면류, 햄버거, 팥빙수 등					이마트 맞은편, 한맥빌딩 106호	5,000원 내외	
73	false	러빙헛 - 상주점	경상	상주시	경상북도 상주시 남원동 9-2	054-536-9353	11:00 ~ 20:30	일요일 휴무	주문식	비건	http://lovinghut.kr/kr/bbs/board.php?bo_table=restaurants_kr&wr_id=32&county=%EC%83%81%EC%A3%BC&lang=&city=	36.415019	128.160249	최대한 유기농 재료 사용, 인근 배달 가능							
74	false	러빙헛 - 별티점	충청	영동군	충북 영동군 구촌리 383-9	070-8221-7778	12:00 ~ 20:00	수요일 휴무	카페	비건	http://lovinghut.kr/kr/bbs/board.php?bo_table=restaurants_kr&wr_id=50&county=%EC%98%81%EB%8F%99&lang=&city=	36.260539	127.829364						소방서 건너편		
75	false	러빙헛 - 영동점	충청	영동군	충북 영동군 영동읍 계산리 691-1	043-743-7597	11:30 ~ 20:30	일요일 휴무	주문식	비건	http://lovinghut.kr/kr/bbs/board.php?bo_table=restaurants_kr&wr_id=23&county=%EC%98%81%EB%8F%99&lang=&city=	36.174035	127.775744	한식, 양식, 면류, 햄버거, 팥빙수 등	370-820				효성약국 2층	5,000원 내외	
77	false	산들바람	수도권	인천	인천시 부평구 산곡3동 370-383	032-502-0633	12:00 ~ 14:30(금요일은 저녁도 함)	일요일 휴무	뷔페	비건	http://www.organicwind.com	37.488499	126.701109	뷔페식						15,000원	
78	false	채식뷔페 련	수도권	인천	인천시 연수구 옥련동 348-120	032-833-3329	12:00 ~ 15:00	월요일	뷔페	비건	http://coolmang.blog.me/10105170673	37.42298	126.656369	사찰음식 유기농 채식 뷔페					송도 청량산 호불사입구에 벽산빌라담밑 골목에 위치	10,000원	
81	false	요산재 - 동탄점	수도권	동탄	경기도 화성시 반송동 107-6	031-8015-3232			주문식	비건	http://nabi7612.blog.me/70104914063	37.199757	127.072914	한정식 코스 요리					거산프라자 9층	26,000 ~ 65,000원	
82	false	이든밸리	수도권	분당	경기도 성남시 분당구 구미동 187-4	031-711-9201		토요일 휴무	뷔페	유란 채식	http://cafe.daum.net/edenruby	37.338332	127.110599	뷔페식					포인트타운 207호	8,000원	
83	false	뜰안채 채식뷔페	수도권	수원	경기도 수원시 권선구 호매실동 821-1	031-291-5879		명절	뷔페	락토 채식	http://blog.naver.com/mt1905?Redirect=Log&logNo=60114233318	37.263306	126.943358	대부분 락토 채식 뷔페(가끔 일반 빵 사용-유란)					칠보산 입구	12,000원	
84	false	산수다원	수도권	수원	경기도 수원시 영통동 1008-12	031-238-2208			주문식	일부 채식	http://cafe.naver.com/ululul/80803	37.250802	127.075623	뮤슬리, 카레, 토마토스프 등					2층	8,000원 내외	
85	false	도르리안 로하스채식뷔페	수도권	시흥시	경기도 시흥시 신천동 422	070-7572-3344			뷔페	대부분 채식		37.444112	126.777026	20여가지 사찰음식. 예약제					수인산업도로 새인천꽃도매시장 뒤		
86	false	요산재 - 안산점	수도권	안산시	경기도 안산시 상록구 사1동 1204-7	031-417-8187			뷔페	비건	http://www.yescall.com/yosanchae/	37.301547	126.851457	퓨전 뷔페식		건물앞 주차 가능					
87	false	걸구쟁이네	수도권	여주	경기도 여주군 강천면 간매리 496-5	031-885-9875			주문식	비건	http://stitch373.blog.me/40127216401	37.288478	127.687381	도토리수제비와 취나물밥, 곤드레나물밥							
88	false	향가	수도권	양평	경기도 양평군 서종면 문호리 666-9	031-774-5969		1.3 번째 수요일 휴무	주문식	일부 채식	http://mummy18.blog.me/20025919680	37.616592	127.350946	팥죽, 팥칼국수, 들깨수제비, 감자전						7,000 ~ 10,000원	
89	false	점봉산 산채 마을	강원	속초	강원도 속초시 노학동 668	033-636-5947			주문식	일부 채식	http://365bestfood.com/10107874976	38.199463	128.549931	비빔밥, 산채정식, 버섯전골, 산더덕구이						산채정식 7,000	
92	false	파티스리 서강헌	수도권	서울	서울특별시 서초구 반포1동 19-3	02-3479-1984			빵집	비건	http://cafe.naver.com/ululul/60828	37.505087	127.004249	비건용 빵을 별도 문의					신세계백화점 강남점 지하매장	3,000 ~ 7,000원 정도	
93	false	더 벨로	수도권	서울	강남구 개포동 141 가상가 214호	070-4226-3976			빵집	비건	http://www.thevelo.co.kr	37.479283	127.062134	비건빵					개포중학교 맞은편 개포1단지 가상가 2층	1,600 ~ 7,000원	
94	false	롯데백화점 청량리점 식품관	수도권	서울	서울특별시 동대문구 전농동 591-53				주문식	일부 채식	http://cafe.naver.com/ululul/79406	37.580777	127.047862	쌀찐빵, 붕어빵, 주먹밥, 단호박영양밥, 비빕밥							
95	false	베지홀릭 - 홍대점	수도권	서울	서울 마포구 연남동 257-7	070-4114-0458	10:00 ~ 22:00	없음	빵집	비건	http://www.veggieholic.co.kr	37.559254	126.921581	빵과 음료							
99	false	쿡엔북 카페	수도권	서울	서울시 마포구 서교동 333-39	02-325-1028			카페	대부분 채식	http://blog.naver.com/sobakhan3/90111820990	37.555125	126.926642	빵, 아이스크림, 요리에 치즈 주의					대략적인 주소임		
100	false	풀향기 채식뷔페	충청	대전	대전시 서구 탄방동 54-19	042-488-2336		일요일 휴무	뷔페	유란 채식	http://blog.naver.com/ahddl14?Redirect=Log&logNo=60068198139	36.341927	127.389184	채식 뷔페					대전 롯데백화점 맞은편	10,000원	
101	false	태화장 중화요리	충청	대전	대전 동구 정동 36-32	042-222-2407			주문식	일부 채식	http://cafe.naver.com/ululul/62057	36.333837	127.429342	채식으로 주문 요청(청구 채식 가능)					대전역 부근 인쇄소골목 정동사거리 부근		
102	false	마르쉐라 웰빙부페	충청	대전	대전시 유성구 반석동 640-3	042-826-8411	11:40~14:30, 18:00~21:00	월요일 휴무	뷔페	비건	http://www.marchera.com	36.391615	127.314211	오신채 없는 퓨전 채식 뷔페					뉴타운프라자 905호	9,000원	
103	false	자연채	충청	대전	대전시 유성구 관평동 1246	042-936-8858			주문식	비건	http://cafe.naver.com/ululul/68049	36.423106	127.392201	짜장, 국수, 칼국수, 비빔밥 등						6,000원 내외	
104	false	뜰안채 웰빙채식뷔페	충청	천안시	충남 천안시 안서동 141	041-567-5879			뷔페	락토 채식	http://cafe.naver.com/ululul/61959	36.831338	127.185733	뷔페(일부 락토 채식)					천안톨게이트에서 호서대쪽, 호서대입구 지나 곧		
105	false	맥향 가마솥 보리밥뷔페	충청	청주	충북 청주시 상당구 사천동 413-3	043-211-2003			뷔페	대부분 채식	http://blog.naver.com/kcbc301/70004000671	36.664168	127.475309	저렴한 가격에 채식할만한 메뉴 많은 보리밥뷔페					신협 건물에 위치	4,000원	
106	false	풀꽃세상 채식뷔페	전라	전주	전북 전주시 완산구 중인동 75-5	063-221-3355			뷔페	락토 채식	http://loveis7511.blog.me/70088021776	35.781009	127.106967	70여 가지 채식 메뉴(피자등 일부락토채식)					해성 고등학교 부근	평일16,500,아동11,000, 주말18,700,아동13,200	
107	false	자연에 채식뷔페	전라	전주	전북 전주시 완산구 서신동 806	063-255-8462	12:00 ~ 14:30, 18:00 ~ 21:00	일요일 휴무	뷔페	비건	http://cafe.naver.com/ululul/79641	35.830694	127.116996	40여가지 자연재료 퓨전웰빙요리					전주시 서신동 지리산 빌딩 뒤편	대인 10,000원, 10세이하 6천원	
108	false	상덕카레	전라	전주	전북 전주시 완산구 풍남동3가 67-18	063-288-0824	11:30 ~ 15:00 (저녁 10인 이상 예약시 가능)	월요일 휴무	주문식	락토 채식	http://mongle0913.blog.me/10109021883	35.815595	127.150995	채식카레/디저트로 나오는 요거트는 락토					전주 한옥마을 경기전 바로옆 골목	6,000원(카레라이스+공갈빵+요거트)	
113	false	칼만사	전라	군산	전북 군산시 미룡동 876-1	063-465-1179			주문식	일부 채식	http://www.menupan.com/Restaurant/onepage.asp?acode=H502181	35.946417	126.687176	흰칼국수					GS슈퍼 내		
115	false	살림채식뷔페	전라	광주	광주광역시 남구 진월동 499-33	062-675-3653			뷔페	대부분 채식	http://diningok.pointpark.com/bin/comu/comu_view.htm?Board_NO=1832&board_type=2&category=&keyword=&re_img=	35.112416	126.900657	채식피자의 치즈제외하고는 비건채식							
116	false	수자타채식뷔페	전라	광주	광주광역시 동구 운림동 470	062-222-1145			뷔페	대부분 채식	http://cafe.naver.com/ululul/76735	35.132025	126.947606	사찰음식, 튀김류 달걀반죽					동적골 입구, 증심사 입구 학운초등학교 바로옆		
117	false	시골생활 건강식당	전라	광주	광주광역시 남구 주월동 371-41	062-652-4744		금요일 저녁부터 토요일은 휴무	주문식	락토 오보		35.132118	126.898053						백운동 모자병원 맞은편 위생병원지하		
118	false	솥귀헌 한식집	전라	광주	광주 남구 진월동 161-4	062-672-0075			주문식	비건	http://blog.naver.com/PostView.nhn?blogId=bbinemo&logNo=100092957153&redirect=Dlog&widgetTypeCall=true	35.113112	126.902294	영양호박밥, 비빔국수 등 3가지 정도 메뉴							
119	false	자연주의 채식뷔페 레스토랑	전라	광주	광주광역시 서구 풍암동 1032-10	062-681-5800			뷔페	락토 오보	http://nhkworld.blog.me/90103120722	35.122366	126.868831						풍암지구 풍암고후문	11,000원	
121	false	풀토랑 채식뷔페-휴업	전라	광주	광주광역시 광산구 수완동 902	062-962-8998		월요일 휴무(현재 임시 휴업)	뷔페	일부 채식	http://blog.naver.com/chasoobin?Redirect=Log&logNo=115872618	35.202182	126.820596	김밥에 어묵, 유제품 확인 요함					광주 신가 지구에 새로 생긴 곳	현재 임시 휴업	
122	false	자연생활채식뷔페	전라	목포	전남 목포시 옥암동 1052	061-281-6663			뷔페	대부분 채식	http://saikii2.blog.me/110103958973	34.806929	126.43587	뷔페식		5대 한정 주차				12000	
123	false	왈츠 건강채식식당	전라	목포	전라남도 목포시 상동 970-6	061-282-3747	12:00~15:00, 18:00~20:30	일요일 휴무	뷔페	비건	http://saikii2.blog.me/110087041239	34.79798	126.421799	유기농재료 위주로 사용한다고 합니다.			010-3640-4393				
125	false	알베로	경상	대구	대구광역시 수성구 신매동 584-15	053-794-7176			주문식	일부 채식	http://cafe.naver.com/dggreen//1789&	35.834971	128.709359	스파게티,파스타,그라탕 등 채식으로 제공(락토)					수성구 시지동 위치		
126	false	야생화가 있는 풍경	경상	대구	대구광역시 동구 신무동 91	053-983-8810			주문식	비건	http://blog.naver.com/girinherb?Redirect=Log&logNo=60109082836	35.991011	128.674102	예약 필요, 채식한정식-황성수박사님 추천식당							
